model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=181,
                    random_state=42)",1.0,0.5844444444444444,0.5338095238095238,0.013895463296585598,0.41555555555555557,"{'n_estimators': 181, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1108.0828729281768,12.0,554.5414364640884,200563,100372,12,181
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=211,
                    random_state=42)",1.0,0.5811111111111111,0.5483333333333332,0.011532267655535559,0.41888888888888887,"{'n_estimators': 211, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1110.3270142180095,12.0,555.6635071090047,234279,117245,12,211
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=241,
                    random_state=42)",1.0,0.5894444444444444,0.5447619047619048,0.01247673572054657,0.41055555555555556,"{'n_estimators': 241, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1110.4107883817428,12.0,555.7053941908714,267609,133925,12,241
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=271,
                    random_state=42)",1.0,0.5905555555555555,0.5502380952380952,0.009078893316636971,0.4094444444444445,"{'n_estimators': 271, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1108.2324723247232,12.0,554.6162361623616,300331,150301,12,271
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=301,
                    random_state=42)",1.0,0.5905555555555555,0.5526190476190477,0.010168645954315516,0.4094444444444445,"{'n_estimators': 301, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1107.2325581395348,12.0,554.1162790697674,333277,166789,12,301
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=331,
                    random_state=42)",1.0,0.5961111111111111,0.5576190476190476,0.009805362039035204,0.40388888888888885,"{'n_estimators': 331, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1105.3504531722053,12.0,553.1752265861027,365871,183101,12,331
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=1,
                    random_state=42)",0.6540476190476191,0.3194444444444444,0.30142857142857143,0.010389249632986399,0.3346031746031747,"{'n_estimators': 1, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1793.0,15.0,897.0,1793,897,15,1
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=31,
                    random_state=42)",0.9995238095238095,0.475,0.445952380952381,0.0074383330246730025,0.5245238095238095,"{'n_estimators': 31, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1806.225806451613,15.0,903.6129032258065,55993,28012,15,31
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=61,
                    random_state=42)",1.0,0.5155555555555555,0.4916666666666667,0.012163847404233126,0.48444444444444446,"{'n_estimators': 61, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1811.032786885246,15.0,906.016393442623,110473,55267,15,61
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=91,
                    random_state=42)",1.0,0.5416666666666666,0.5228571428571428,0.013768411709334249,0.45833333333333337,"{'n_estimators': 91, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1803.10989010989,15.0,902.054945054945,164083,82087,15,91
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=121,
                    random_state=42)",1.0,0.5616666666666666,0.534047619047619,0.010716930890406567,0.43833333333333335,"{'n_estimators': 121, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1814.7520661157025,15.0,907.8760330578513,219585,109853,15,121
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=151,
                    random_state=42)",1.0,0.5672222222222222,0.5459523809523809,0.011678808065172123,0.4327777777777778,"{'n_estimators': 151, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1811.7019867549668,15.0,906.3509933774834,273567,136859,15,151
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=181,
                    random_state=42)",1.0,0.5766666666666667,0.5516666666666667,0.011919039057889354,0.42333333333333334,"{'n_estimators': 181, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1806.657458563536,15.0,903.828729281768,327005,163593,15,181
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=211,
                    random_state=42)",1.0,0.5772222222222222,0.5542857142857143,0.016642840111715535,0.4227777777777778,"{'n_estimators': 211, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1811.0379146919431,15.0,906.0189573459716,382129,191170,15,211
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=241,
                    random_state=42)",1.0,0.585,0.5595238095238095,0.01778557085426962,0.41500000000000004,"{'n_estimators': 241, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1810.5767634854772,15.0,905.7883817427386,436349,218295,15,241
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=271,
                    random_state=42)",1.0,0.5861111111111111,0.5635714285714286,0.020211467075908762,0.41388888888888886,"{'n_estimators': 271, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",1807.9446494464944,15.0,904.4723247232472,489953,245112,15,271
