model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=61,
                    random_state=42)",1.0,0.675,0.6857142857142857,0.01548534527762772,0.32499999999999996,"{'n_estimators': 61, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",622.344262295082,15.0,311.672131147541,37963,19012,15,61
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=71,
                    random_state=42)",1.0,0.68,0.6850000000000002,0.017408653724219937,0.31999999999999995,"{'n_estimators': 71, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",622.3521126760563,15.0,311.67605633802816,44187,22129,15,71
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=81,
                    random_state=42)",1.0,0.6816666666666666,0.6821428571428572,0.013739560044050981,0.31833333333333336,"{'n_estimators': 81, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",621.7654320987655,15.0,311.38271604938274,50363,25222,15,81
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=91,
                    random_state=42)",1.0,0.6833333333333333,0.6828571428571429,0.009689042833036106,0.31666666666666665,"{'n_estimators': 91, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",621.6153846153846,15.0,311.3076923076923,56567,28329,15,91
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=1,
                    random_state=42)",0.7864285714285715,0.4766666666666667,0.4764285714285714,0.03993617356712673,0.3097619047619048,"{'n_estimators': 1, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",621.0,18.0,311.0,621,311,18,1
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=11,
                    random_state=42)",0.9914285714285714,0.5933333333333334,0.6028571428571429,0.024989793835051302,0.39809523809523806,"{'n_estimators': 11, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",642.2727272727273,17.636363636363637,321.6363636363636,7065,3538,18,11
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=21,
                    random_state=42)",0.9978571428571429,0.6333333333333333,0.6371428571428571,0.02835633320182742,0.3645238095238096,"{'n_estimators': 21, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",648.4285714285714,17.761904761904763,324.7142857142857,13617,6819,18,21
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=31,
                    random_state=42)",1.0,0.645,0.6614285714285714,0.018405855323893067,0.355,"{'n_estimators': 31, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",650.8709677419355,17.774193548387096,325.93548387096774,20177,10104,18,31
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=41,
                    random_state=42)",1.0,0.655,0.6578571428571428,0.015386185163241453,0.345,"{'n_estimators': 41, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",653.3414634146342,17.73170731707317,327.1707317073171,26787,13414,18,41
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=51,
                    random_state=42)",1.0,0.6616666666666666,0.6735714285714285,0.021261251523053203,0.3383333333333334,"{'n_estimators': 51, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",653.3529411764706,17.745098039215687,327.1764705882353,33321,16686,18,51
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=61,
                    random_state=42)",1.0,0.675,0.6792857142857143,0.017985254731448793,0.32499999999999996,"{'n_estimators': 61, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",650.7049180327868,17.639344262295083,325.8524590163934,39693,19877,18,61
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=71,
                    random_state=42)",1.0,0.675,0.675,0.00931314629314665,0.32499999999999996,"{'n_estimators': 71, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",651.6197183098592,17.676056338028168,326.3098591549296,46265,23168,18,71
